"28" ,10 ,"Fremont" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,141 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,62 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,10 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,2 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,74 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,9 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,4 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,1 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,14 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,2 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,1 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,3 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,141 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,37 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,7 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,45 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,39 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,9 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,2 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,50 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,141 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"GARY R. HERBERT" ,"300084" ,"REP" ,68 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"GARY R. HERBERT" ,"300084" ,"REP" ,12 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"GARY R. HERBERT" ,"300084" ,"REP" ,2 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"GARY R. HERBERT" ,"300084" ,"REP" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"GARY R. HERBERT" ,"300084" ,"REP" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"GARY R. HERBERT" ,"300084" ,"REP" ,82 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"PETER CORROON" ,"300087" ,"DEM" ,8 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"PETER CORROON" ,"300087" ,"DEM" ,2 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"PETER CORROON" ,"300087" ,"DEM" ,1 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"PETER CORROON" ,"300087" ,"DEM" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"PETER CORROON" ,"300087" ,"DEM" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"PETER CORROON" ,"300087" ,"DEM" ,11 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"W. ANDREW MCCULLOUGH" ,"300081" ,"LIB" ,2 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"W. ANDREW MCCULLOUGH" ,"300081" ,"LIB" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"W. ANDREW MCCULLOUGH" ,"300081" ,"LIB" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"W. ANDREW MCCULLOUGH" ,"300081" ,"LIB" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"W. ANDREW MCCULLOUGH" ,"300081" ,"LIB" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"W. ANDREW MCCULLOUGH" ,"300081" ,"LIB" ,2 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"FARLEY M. ANDERSON" ,"300090" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"FARLEY M. ANDERSON" ,"300090" ,"NP" ,1 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"FARLEY M. ANDERSON" ,"300090" ,"NP" ,0 ,
"28" ,10 ,"Fremont" ,"GOVERNOR & LIEUTENANT GOVERNOR" ,"300080" ,"NP" ,"FARLEY M. ANDERSON" ,"300090" ,"NP" ,0 ,
