"1" ,10 ,"Beaver #1" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,822 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,17 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,7 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,24 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,43 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,18 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,3 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,0 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,64 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,2 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,1 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,1 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,4 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,4 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,1 ,
"1" ,10 ,"Beaver #1" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,5 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,822 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,65 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,32 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,2 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,2 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,101 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,283 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,76 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,22 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,381 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,16 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,4 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,6 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,1 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,27 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,2 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,2 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,822 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"KAREN HYER" ,"300064" ,"DEM" ,45 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"KAREN HYER" ,"300064" ,"DEM" ,25 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"KAREN HYER" ,"300064" ,"DEM" ,3 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"KAREN HYER" ,"300064" ,"DEM" ,0 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"KAREN HYER" ,"300064" ,"DEM" ,73 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JASON CHAFFETZ" ,"300061" ,"REP" ,310 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JASON CHAFFETZ" ,"300061" ,"REP" ,87 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JASON CHAFFETZ" ,"300061" ,"REP" ,26 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JASON CHAFFETZ" ,"300061" ,"REP" ,3 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JASON CHAFFETZ" ,"300061" ,"REP" ,426 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"DOUGLAS SLIGTING" ,"300073" ,"CON" ,7 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"DOUGLAS SLIGTING" ,"300073" ,"CON" ,2 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"DOUGLAS SLIGTING" ,"300073" ,"CON" ,1 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"DOUGLAS SLIGTING" ,"300073" ,"CON" ,0 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"DOUGLAS SLIGTING" ,"300073" ,"CON" ,10 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JAKE SHANNON" ,"300070" ,"LIB" ,7 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JAKE SHANNON" ,"300070" ,"LIB" ,2 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JAKE SHANNON" ,"300070" ,"LIB" ,1 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JAKE SHANNON" ,"300070" ,"LIB" ,0 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JAKE SHANNON" ,"300070" ,"LIB" ,10 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JOSEPH L. PUENTE" ,"300067" ,"NP" ,3 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JOSEPH L. PUENTE" ,"300067" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JOSEPH L. PUENTE" ,"300067" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JOSEPH L. PUENTE" ,"300067" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JOSEPH L. PUENTE" ,"300067" ,"NP" ,4 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,822 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,63 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,25 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,3 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,1 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,92 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,303 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,85 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,24 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,1 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,413 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,12 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,5 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,2 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,0 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,19 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,3 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,4 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Registered Voters" ,"" ,"NP" ,822 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"DENNIS E. STOWELL" ,"300381" ,"REP" ,333 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"DENNIS E. STOWELL" ,"300381" ,"REP" ,92 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"DENNIS E. STOWELL" ,"300381" ,"REP" ,28 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"DENNIS E. STOWELL" ,"300381" ,"REP" ,2 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"DENNIS E. STOWELL" ,"300381" ,"REP" ,455 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Write-in 20" ,"" ,"NP" ,2 ,
"1" ,10 ,"Beaver #1" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
