"22" ,10 ,"Abraham" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,74 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,2 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,1 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,3 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,1 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,1 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"22" ,10 ,"Abraham" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,74 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,6 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,0 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,1 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,0 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,7 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,8 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,0 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,1 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,0 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,9 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,31 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,4 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,1 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,0 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,36 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Registered Voters" ,"" ,"NP" ,74 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JASON CHAFFETZ" ,"300061" ,"REP" ,33 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JASON CHAFFETZ" ,"300061" ,"REP" ,4 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JASON CHAFFETZ" ,"300061" ,"REP" ,1 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JASON CHAFFETZ" ,"300061" ,"REP" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JASON CHAFFETZ" ,"300061" ,"REP" ,38 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"KAREN HYER" ,"300064" ,"DEM" ,10 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"KAREN HYER" ,"300064" ,"DEM" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"KAREN HYER" ,"300064" ,"DEM" ,1 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"KAREN HYER" ,"300064" ,"DEM" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"KAREN HYER" ,"300064" ,"DEM" ,11 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JOSEPH L. PUENTE" ,"300067" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JOSEPH L. PUENTE" ,"300067" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JOSEPH L. PUENTE" ,"300067" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JOSEPH L. PUENTE" ,"300067" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JOSEPH L. PUENTE" ,"300067" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JAKE SHANNON" ,"300070" ,"LIB" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JAKE SHANNON" ,"300070" ,"LIB" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JAKE SHANNON" ,"300070" ,"LIB" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JAKE SHANNON" ,"300070" ,"LIB" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"JAKE SHANNON" ,"300070" ,"LIB" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"DOUGLAS SLIGTING" ,"300073" ,"CON" ,3 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"DOUGLAS SLIGTING" ,"300073" ,"CON" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"DOUGLAS SLIGTING" ,"300073" ,"CON" ,1 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"DOUGLAS SLIGTING" ,"300073" ,"CON" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"DOUGLAS SLIGTING" ,"300073" ,"CON" ,4 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"US CONGRESS D3" ,"300060" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,74 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,5 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,6 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,8 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,1 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,9 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,31 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,4 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,1 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,36 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,1 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,1 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Registered Voters" ,"" ,"NP" ,74 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"DENNIS E. STOWELL" ,"300381" ,"REP" ,39 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"DENNIS E. STOWELL" ,"300381" ,"REP" ,3 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"DENNIS E. STOWELL" ,"300381" ,"REP" ,3 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"DENNIS E. STOWELL" ,"300381" ,"REP" ,0 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"DENNIS E. STOWELL" ,"300381" ,"REP" ,45 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"STATE SENATOR D28" ,"300380" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"22" ,10 ,"Abraham" ,"STATE REP D68" ,"301720" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"STATE REP D68" ,"301720" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"22" ,10 ,"Abraham" ,"STATE REP D68" ,"301720" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
