13	10	KANAB 1A&B 	Race Statistics 	 	NP 	Number of Precincts 	 	NP 	1
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	MIKE LEE 	300007	REP 	300
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	SAM F. GRANATO 	300004	DEM 	50
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	SAM F. GRANATO 	300004	DEM 	24
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	SAM F. GRANATO 	300004	DEM 	7
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	SAM F. GRANATO 	300004	DEM 	0
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	SAM F. GRANATO 	300004	DEM 	81
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	SCOTT N. BRADLEY 	300001	CON 	16
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	SCOTT N. BRADLEY 	300001	CON 	5
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	SCOTT N. BRADLEY 	300001	CON 	8
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	SCOTT N. BRADLEY 	300001	CON 	0
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	SCOTT N. BRADLEY 	300001	CON 	29
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Write-in 	 	NP 	1
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Write-in 	 	NP 	1
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Write-in 	 	NP 	1
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Write-in 	 	NP 	0
13	10	KANAB 1A&B 	UNITED STATES SENATE 	300000	NP 	Write-in 	 	NP 	3
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Registered Voters 	 	NP 	617
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	MORGAN PHILPOT 	300053	REP 	156
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	MORGAN PHILPOT 	300053	REP 	69
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	MORGAN PHILPOT 	300053	REP 	21
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	MORGAN PHILPOT 	300053	REP 	0
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	MORGAN PHILPOT 	300053	REP 	246
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	JIM MATHESON 	300050	DEM 	96
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	JIM MATHESON 	300050	DEM 	43
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	JIM MATHESON 	300050	DEM 	10
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	JIM MATHESON 	300050	DEM 	0
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	JIM MATHESON 	300050	DEM 	149
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	RANDALL HINTON 	300047	CON 	5
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	RANDALL HINTON 	300047	CON 	2
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	RANDALL HINTON 	300047	CON 	1
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	RANDALL HINTON 	300047	CON 	0
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	RANDALL HINTON 	300047	CON 	8
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	DAVE GLISSMEYER 	300041	NP 	1
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	DAVE GLISSMEYER 	300041	NP 	1
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	DAVE GLISSMEYER 	300041	NP 	2
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	DAVE GLISSMEYER 	300041	NP 	0
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	DAVE GLISSMEYER 	300041	NP 	4
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	WAYNE L. HILL 	300044	NP 	2
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	WAYNE L. HILL 	300044	NP 	1
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	WAYNE L. HILL 	300044	NP 	0
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	WAYNE L. HILL 	300044	NP 	0
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	WAYNE L. HILL 	300044	NP 	3
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Write-in 	 	NP 	2
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Write-in 	 	NP 	0
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Write-in 	 	NP 	1
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Write-in 	 	NP 	0
13	10	KANAB 1A&B 	U.S. REPRESENTATIVE 	300040	NP 	Write-in 	 	NP 	3
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Registered Voters 	 	NP 	617
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	GARY R. HERBERT 	300084	REP 	201
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	GARY R. HERBERT 	300084	REP 	80
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	GARY R. HERBERT 	300084	REP 	17
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	GARY R. HERBERT 	300084	REP 	0
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	GARY R. HERBERT 	300084	REP 	298
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	PETER CORROON 	300087	DEM 	52
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	PETER CORROON 	300087	DEM 	29
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	PETER CORROON 	300087	DEM 	10
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	PETER CORROON 	300087	DEM 	0
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	PETER CORROON 	300087	DEM 	91
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	ANDREW W. MCCULLOUGH 	300081	LIB 	7
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	ANDREW W. MCCULLOUGH 	300081	LIB 	2
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	ANDREW W. MCCULLOUGH 	300081	LIB 	4
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	ANDREW W. MCCULLOUGH 	300081	LIB 	0
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	ANDREW W. MCCULLOUGH 	300081	LIB 	13
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	FARLEY M. ANDERSON 	300090	NP 	5
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	FARLEY M. ANDERSON 	300090	NP 	5
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	FARLEY M. ANDERSON 	300090	NP 	3
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	FARLEY M. ANDERSON 	300090	NP 	0
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	FARLEY M. ANDERSON 	300090	NP 	13
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Write-in 	 	NP 	0
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Write-in 	 	NP 	0
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Write-in 	 	NP 	0
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Write-in 	 	NP 	0
13	10	KANAB 1A&B 	GOVERNOR 	300080	NP 	Write-in 	 	NP 	0
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Registered Voters 	 	NP 	617
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	DENNIS E. STOWELL 	300381	REP 	215
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	DENNIS E. STOWELL 	300381	REP 	84
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	DENNIS E. STOWELL 	300381	REP 	20
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	DENNIS E. STOWELL 	300381	REP 	0
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	DENNIS E. STOWELL 	300381	REP 	319
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Write-in 	 	NP 	3
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Write-in 	 	NP 	4
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Write-in 	 	NP 	0
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Write-in 	 	NP 	0
13	10	KANAB 1A&B 	UTAH STATE SENATE 	300380	NP 	Write-in 	 	NP 	7
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Registered Voters 	 	NP 	617
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	MIKE NOEL 	301901	REP 	218
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	MIKE NOEL 	301901	REP 	84
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	MIKE NOEL 	301901	REP 	19
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	MIKE NOEL 	301901	REP 	0
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	MIKE NOEL 	301901	REP 	321
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Write-in 	 	NP 	10
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Write-in 	 	NP 	8
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Write-in 	 	NP 	3
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Write-in 	 	NP 	0
13	10	KANAB 1A&B 	UTAH STATE REPRESENTATIVE 	301900	NP 	Write-in 	 	NP 	21
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Registered Voters 	 	NP 	0
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Registered Voters 	 	NP 	617
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	DIXIE LEE ALLEN 	302081	NP 	144
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	DIXIE LEE ALLEN 	302081	NP 	67
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	DIXIE LEE ALLEN 	302081	NP 	17
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	DIXIE LEE ALLEN 	302081	NP 	0
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	DIXIE LEE ALLEN 	302081	NP 	228
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	JOHNY THAYNE 	302084	NP 	21
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	JOHNY THAYNE 	302084	NP 	8
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	JOHNY THAYNE 	302084	NP 	2
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	JOHNY THAYNE 	302084	NP 	0
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	JOHNY THAYNE 	302084	NP 	31
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Write-in  	 	NP 	1
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Write-in  	 	NP 	1
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Write-in  	 	NP 	0
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Write-in  	 	NP 	0
13	10	KANAB 1A&B 	STATE BOARD OF EDUCATION  	302080	NP 	Write-in  	 	NP 	2
13	10	KANAB 1A&B 	COUNTY COMMISSION - A 	130001	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	COUNTY COMMISSION - A 	130001	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	COUNTY COMMISSION - A 	130001	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	COUNTY COMMISSION - A 	130001	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	COUNTY COMMISSION - A 	130001	NP 	Number of Precincts for Race 	 	NP 	1
13	10	KANAB 1A&B 	COUNTY COMMISSION - A 	130001	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	COUNTY COMMISSION - A 	130001	NP 	Number of Precincts Reporting 	 	NP 	1
13	10	KANAB 1A&B 	COUNTY COMMISSION - A 	130001	NP 	Number of Precincts Reporting 	 	NP 	1
