"26" ,10 ,"Heber 1.1 " ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,508 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,88 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,15 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,9 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,112 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,70 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,12 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,9 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,91 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,7 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,7 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US SENATE" ,"300000" ,"NP" ,"Write-in 40" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,508 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,61 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,14 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,5 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,80 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,97 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,13 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,15 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,125 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,3 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,3 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,5 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,5 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,508 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,93 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,13 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,7 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"HERBERT/BELL" ,"300084" ,"REP" ,113 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,69 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,13 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,12 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"CORROON/ALLEN" ,"300087" ,"DEM" ,94 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,6 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"MCCULLOUGH/CRAMER SR" ,"300081" ,"LIB" ,7 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"ANDERSON/MAXFIELD" ,"300090" ,"NP" ,2 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"GOVERNOR/LT GOVERNOR" ,"300080" ,"NP" ,"Write-in 50" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Registered Voters" ,"" ,"NP" ,508 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"KEVIN T. VANTASSELL" ,"300364" ,"REP" ,98 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"KEVIN T. VANTASSELL" ,"300364" ,"REP" ,13 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"KEVIN T. VANTASSELL" ,"300364" ,"REP" ,7 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"KEVIN T. VANTASSELL" ,"300364" ,"REP" ,118 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"PAUL DOWLAND" ,"300361" ,"DEM" ,69 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"PAUL DOWLAND" ,"300361" ,"DEM" ,13 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"PAUL DOWLAND" ,"300361" ,"DEM" ,12 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"PAUL DOWLAND" ,"300361" ,"DEM" ,94 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Write-in 30" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Write-in 30" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE SENATOR D26" ,"300360" ,"NP" ,"Write-in 30" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Registered Voters" ,"" ,"NP" ,508 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"KRAIG POWELL" ,"301441" ,"REP" ,131 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"KRAIG POWELL" ,"301441" ,"REP" ,21 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"KRAIG POWELL" ,"301441" ,"REP" ,12 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"KRAIG POWELL" ,"301441" ,"REP" ,164 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Write-in 20" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Write-in 20" ,"" ,"NP" ,0 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Write-in 20" ,"" ,"NP" ,2 ,
"26" ,10 ,"Heber 1.1 " ,"STATE REP D54" ,"301440" ,"NP" ,"Write-in 20" ,"" ,"NP" ,3 ,
"26" ,10 ,"Heber 1.1 " ,"COUNTY COUNCIL  AT LARGE A" ,"271000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"COUNTY COUNCIL  AT LARGE A" ,"271000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"COUNTY COUNCIL  AT LARGE A" ,"271000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"COUNTY COUNCIL  AT LARGE A" ,"271000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"COUNTY COUNCIL  AT LARGE A" ,"271000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"COUNTY COUNCIL  AT LARGE A" ,"271000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"26" ,10 ,"Heber 1.1 " ,"COUNTY COUNCIL  AT LARGE A" ,"271000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
