"8" ,1 ,"1.1,1.2" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"Registered Voters" ,"" ,"NP" ,232 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,27 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"REPUBLICAN" ,"" ,"REP" ,27 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,2 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"DEMOCRATIC" ,"" ,"DEM" ,2 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"CONSTITUTION" ,"" ,"CON" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,1 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,0 ,
"8" ,1 ,"1.1,1.2" ,"STRAIGHT PARTY" ,"" ,"NP" ,"LIBERTARIAN" ,"" ,"LIB" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,232 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,99 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,2 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,3 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"MIKE LEE" ,"300007" ,"REP" ,104 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,30 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"SAM F. GRANATO" ,"300004" ,"DEM" ,32 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,12 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"SCOTT N. BRADLEY" ,"300001" ,"CON" ,13 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 70" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 70" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 70" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 70" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 70" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US SENATE" ,"300000" ,"NP" ,"Write-in 70" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Registered Voters" ,"" ,"NP" ,232 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,76 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,3 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"MORGAN PHILPOT" ,"300053" ,"REP" ,80 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,66 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,3 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"JIM MATHESON" ,"300050" ,"DEM" ,69 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"RANDALL HINTON" ,"300047" ,"CON" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"DAVE GLISSMEYER" ,"300041" ,"NP" ,2 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,3 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"WAYNE L. HILL" ,"300044" ,"NP" ,3 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"US CONGRESS D2" ,"300040" ,"NP" ,"Write-in 60" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"Registered Voters" ,"" ,"NP" ,232 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"GARY R. HERBERT" ,"300084" ,"REP" ,108 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"GARY R. HERBERT" ,"300084" ,"REP" ,2 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"GARY R. HERBERT" ,"300084" ,"REP" ,4 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"GARY R. HERBERT" ,"300084" ,"REP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"GARY R. HERBERT" ,"300084" ,"REP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"GARY R. HERBERT" ,"300084" ,"REP" ,114 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"PETER CORROON" ,"300087" ,"DEM" ,33 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"PETER CORROON" ,"300087" ,"DEM" ,1 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"PETER CORROON" ,"300087" ,"DEM" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"PETER CORROON" ,"300087" ,"DEM" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"PETER CORROON" ,"300087" ,"DEM" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"PETER CORROON" ,"300087" ,"DEM" ,34 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"ANDREW W. MCCULLOUGH" ,"300081" ,"LIB" ,2 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"ANDREW W. MCCULLOUGH" ,"300081" ,"LIB" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"ANDREW W. MCCULLOUGH" ,"300081" ,"LIB" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"ANDREW W. MCCULLOUGH" ,"300081" ,"LIB" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"ANDREW W. MCCULLOUGH" ,"300081" ,"LIB" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"ANDREW W. MCCULLOUGH" ,"300081" ,"LIB" ,2 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"FARLEY M. ANDERSON" ,"300090" ,"NP" ,5 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"FARLEY M. ANDERSON" ,"300090" ,"NP" ,1 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"FARLEY M. ANDERSON" ,"300090" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"FARLEY M. ANDERSON" ,"300090" ,"NP" ,0 ,
"8" ,1 ,"1.1,1.2" ,"GOVERNOR" ,"300080" ,"NP" ,"FARLEY M. ANDERSON" ,"300090" ,"NP" ,0 ,
