27	720	SG38 	Race Statistics 	 	NP 	Number of Precincts 	 	NP 	1
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Registered Voters 	 	NP 	695
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	MORGAN PHILPOT 	300053	REP 	150
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	MORGAN PHILPOT 	300053	REP 	21
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	MORGAN PHILPOT 	300053	REP 	9
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	MORGAN PHILPOT 	300053	REP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	MORGAN PHILPOT 	300053	REP 	9
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	MORGAN PHILPOT 	300053	REP 	189
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	JIM MATHESON 	300050	DEM 	60
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	JIM MATHESON 	300050	DEM 	5
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	JIM MATHESON 	300050	DEM 	6
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	JIM MATHESON 	300050	DEM 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	JIM MATHESON 	300050	DEM 	6
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	JIM MATHESON 	300050	DEM 	77
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	RANDALL HINTON 	300047	CON 	8
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	RANDALL HINTON 	300047	CON 	2
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	RANDALL HINTON 	300047	CON 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	RANDALL HINTON 	300047	CON 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	RANDALL HINTON 	300047	CON 	1
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	RANDALL HINTON 	300047	CON 	11
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	DAVE GLISSMEYER 	300041	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	DAVE GLISSMEYER 	300041	NP 	1
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	DAVE GLISSMEYER 	300041	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	DAVE GLISSMEYER 	300041	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	DAVE GLISSMEYER 	300041	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	DAVE GLISSMEYER 	300041	NP 	1
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	WAYNE L. HILL 	300044	NP 	2
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	WAYNE L. HILL 	300044	NP 	3
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	WAYNE L. HILL 	300044	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	WAYNE L. HILL 	300044	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	WAYNE L. HILL 	300044	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	WAYNE L. HILL 	300044	NP 	5
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Write-in 60 	 	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Write-in 60 	 	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Write-in 60 	 	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Write-in 60 	 	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Write-in 60 	 	NP 	0
27	720	SG38 	U.S. Congressional District 2 	300040	NP 	Write-in 60 	 	NP 	0
27	720	SG38 	Utah State Governor 	300080	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Utah State Governor 	300080	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Utah State Governor 	300080	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Utah State Governor 	300080	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Utah State Governor 	300080	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Utah State Governor 	300080	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Utah State Governor 	300080	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Utah State Governor 	300080	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Utah State Governor 	300080	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Utah State Governor 	300080	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Utah State Governor 	300080	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Utah State Governor 	300080	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Utah State Governor 	300080	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	Utah State Governor 	300080	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	Utah State Governor 	300080	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	Utah State Governor 	300080	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	Utah State Governor 	300080	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	Utah State Governor 	300080	NP 	Registered Voters 	 	NP 	695
27	720	SG38 	Utah State Governor 	300080	NP 	GARY R. HERBERT 	300084	REP 	162
27	720	SG38 	Utah State Governor 	300080	NP 	GARY R. HERBERT 	300084	REP 	23
27	720	SG38 	Utah State Governor 	300080	NP 	GARY R. HERBERT 	300084	REP 	7
27	720	SG38 	Utah State Governor 	300080	NP 	GARY R. HERBERT 	300084	REP 	0
27	720	SG38 	Utah State Governor 	300080	NP 	GARY R. HERBERT 	300084	REP 	12
27	720	SG38 	Utah State Governor 	300080	NP 	GARY R. HERBERT 	300084	REP 	204
27	720	SG38 	Utah State Governor 	300080	NP 	PETER CORROON 	300087	DEM 	45
27	720	SG38 	Utah State Governor 	300080	NP 	PETER CORROON 	300087	DEM 	6
27	720	SG38 	Utah State Governor 	300080	NP 	PETER CORROON 	300087	DEM 	7
27	720	SG38 	Utah State Governor 	300080	NP 	PETER CORROON 	300087	DEM 	0
27	720	SG38 	Utah State Governor 	300080	NP 	PETER CORROON 	300087	DEM 	0
27	720	SG38 	Utah State Governor 	300080	NP 	PETER CORROON 	300087	DEM 	58
27	720	SG38 	Utah State Governor 	300080	NP 	W. ANDREW McCULLOUGH 	300081	LIB 	8
27	720	SG38 	Utah State Governor 	300080	NP 	W. ANDREW McCULLOUGH 	300081	LIB 	0
27	720	SG38 	Utah State Governor 	300080	NP 	W. ANDREW McCULLOUGH 	300081	LIB 	1
27	720	SG38 	Utah State Governor 	300080	NP 	W. ANDREW McCULLOUGH 	300081	LIB 	0
27	720	SG38 	Utah State Governor 	300080	NP 	W. ANDREW McCULLOUGH 	300081	LIB 	4
27	720	SG38 	Utah State Governor 	300080	NP 	W. ANDREW McCULLOUGH 	300081	LIB 	13
27	720	SG38 	Utah State Governor 	300080	NP 	FARLEY M. ANDERSON 	300090	NP 	8
27	720	SG38 	Utah State Governor 	300080	NP 	FARLEY M. ANDERSON 	300090	NP 	3
27	720	SG38 	Utah State Governor 	300080	NP 	FARLEY M. ANDERSON 	300090	NP 	0
27	720	SG38 	Utah State Governor 	300080	NP 	FARLEY M. ANDERSON 	300090	NP 	0
27	720	SG38 	Utah State Governor 	300080	NP 	FARLEY M. ANDERSON 	300090	NP 	0
27	720	SG38 	Utah State Governor 	300080	NP 	FARLEY M. ANDERSON 	300090	NP 	11
27	720	SG38 	Utah State Governor 	300080	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	Utah State Governor 	300080	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	Utah State Governor 	300080	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	Utah State Governor 	300080	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	Utah State Governor 	300080	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	Utah State Governor 	300080	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	Utah State House District 71 	301780	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Utah State House District 71 	301780	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Utah State House District 71 	301780	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Utah State House District 71 	301780	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Utah State House District 71 	301780	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Utah State House District 71 	301780	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	Utah State House District 71 	301780	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Utah State House District 71 	301780	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Utah State House District 71 	301780	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Utah State House District 71 	301780	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Utah State House District 71 	301780	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Utah State House District 71 	301780	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	Utah State House District 71 	301780	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	Utah State House District 71 	301780	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	Utah State House District 71 	301780	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	Utah State House District 71 	301780	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	Utah State House District 71 	301780	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	Utah State House District 71 	301780	NP 	Registered Voters 	 	NP 	695
27	720	SG38 	Utah State House District 71 	301780	NP 	BRAD LAST 	301781	REP 	188
27	720	SG38 	Utah State House District 71 	301780	NP 	BRAD LAST 	301781	REP 	28
27	720	SG38 	Utah State House District 71 	301780	NP 	BRAD LAST 	301781	REP 	11
27	720	SG38 	Utah State House District 71 	301780	NP 	BRAD LAST 	301781	REP 	0
27	720	SG38 	Utah State House District 71 	301780	NP 	BRAD LAST 	301781	REP 	13
27	720	SG38 	Utah State House District 71 	301780	NP 	BRAD LAST 	301781	REP 	240
27	720	SG38 	Utah State House District 71 	301780	NP 	Write-in 20 	 	NP 	4
27	720	SG38 	Utah State House District 71 	301780	NP 	Write-in 20 	 	NP 	0
27	720	SG38 	Utah State House District 71 	301780	NP 	Write-in 20 	 	NP 	0
27	720	SG38 	Utah State House District 71 	301780	NP 	Write-in 20 	 	NP 	0
27	720	SG38 	Utah State House District 71 	301780	NP 	Write-in 20 	 	NP 	0
27	720	SG38 	Utah State House District 71 	301780	NP 	Write-in 20 	 	NP 	4
27	720	SG38 	State School Board District 15 	302100	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	State School Board District 15 	302100	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	State School Board District 15 	302100	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	State School Board District 15 	302100	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	State School Board District 15 	302100	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	State School Board District 15 	302100	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	State School Board District 15 	302100	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	State School Board District 15 	302100	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	State School Board District 15 	302100	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	State School Board District 15 	302100	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	State School Board District 15 	302100	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	State School Board District 15 	302100	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	State School Board District 15 	302100	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	State School Board District 15 	302100	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	State School Board District 15 	302100	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	State School Board District 15 	302100	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	State School Board District 15 	302100	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	State School Board District 15 	302100	NP 	Registered Voters 	 	NP 	695
27	720	SG38 	State School Board District 15 	302100	NP 	TOM JETT 	302101	NP 	72
27	720	SG38 	State School Board District 15 	302100	NP 	TOM JETT 	302101	NP 	13
27	720	SG38 	State School Board District 15 	302100	NP 	TOM JETT 	302101	NP 	5
27	720	SG38 	State School Board District 15 	302100	NP 	TOM JETT 	302101	NP 	0
27	720	SG38 	State School Board District 15 	302100	NP 	TOM JETT 	302101	NP 	7
27	720	SG38 	State School Board District 15 	302100	NP 	TOM JETT 	302101	NP 	97
27	720	SG38 	State School Board District 15 	302100	NP 	DEBRA G. ROBERTS 	302104	NP 	89
27	720	SG38 	State School Board District 15 	302100	NP 	DEBRA G. ROBERTS 	302104	NP 	13
27	720	SG38 	State School Board District 15 	302100	NP 	DEBRA G. ROBERTS 	302104	NP 	5
27	720	SG38 	State School Board District 15 	302100	NP 	DEBRA G. ROBERTS 	302104	NP 	0
27	720	SG38 	State School Board District 15 	302100	NP 	DEBRA G. ROBERTS 	302104	NP 	4
27	720	SG38 	State School Board District 15 	302100	NP 	DEBRA G. ROBERTS 	302104	NP 	111
27	720	SG38 	State School Board District 15 	302100	NP 	Write-in 40 	 	NP 	1
27	720	SG38 	State School Board District 15 	302100	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	State School Board District 15 	302100	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	State School Board District 15 	302100	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	State School Board District 15 	302100	NP 	Write-in 40 	 	NP 	0
27	720	SG38 	State School Board District 15 	302100	NP 	Write-in 40 	 	NP 	1
27	720	SG38 	County Commission Seat A 	270000	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	County Commission Seat A 	270000	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	County Commission Seat A 	270000	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	County Commission Seat A 	270000	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	County Commission Seat A 	270000	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	County Commission Seat A 	270000	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	County Commission Seat A 	270000	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	County Commission Seat A 	270000	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	County Commission Seat A 	270000	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	County Commission Seat A 	270000	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	County Commission Seat A 	270000	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	County Commission Seat A 	270000	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	County Commission Seat A 	270000	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	County Commission Seat A 	270000	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	County Commission Seat A 	270000	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	County Commission Seat A 	270000	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	County Commission Seat A 	270000	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	County Commission Seat A 	270000	NP 	Registered Voters 	 	NP 	695
27	720	SG38 	County Commission Seat A 	270000	NP 	JAMES EARDLEY 	271001	REP 	183
27	720	SG38 	County Commission Seat A 	270000	NP 	JAMES EARDLEY 	271001	REP 	28
27	720	SG38 	County Commission Seat A 	270000	NP 	JAMES EARDLEY 	271001	REP 	10
27	720	SG38 	County Commission Seat A 	270000	NP 	JAMES EARDLEY 	271001	REP 	0
27	720	SG38 	County Commission Seat A 	270000	NP 	JAMES EARDLEY 	271001	REP 	14
27	720	SG38 	County Commission Seat A 	270000	NP 	JAMES EARDLEY 	271001	REP 	235
27	720	SG38 	County Commission Seat A 	270000	NP 	Write-in 20 	 	NP 	5
27	720	SG38 	County Commission Seat A 	270000	NP 	Write-in 20 	 	NP 	1
27	720	SG38 	County Commission Seat A 	270000	NP 	Write-in 20 	 	NP 	0
27	720	SG38 	County Commission Seat A 	270000	NP 	Write-in 20 	 	NP 	0
27	720	SG38 	County Commission Seat A 	270000	NP 	Write-in 20 	 	NP 	0
27	720	SG38 	County Commission Seat A 	270000	NP 	Write-in 20 	 	NP 	6
27	720	SG38 	County Commission Seat B 	270002	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	County Commission Seat B 	270002	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	County Commission Seat B 	270002	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	County Commission Seat B 	270002	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	County Commission Seat B 	270002	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	County Commission Seat B 	270002	NP 	Number of Precincts for Race 	 	NP 	1
27	720	SG38 	County Commission Seat B 	270002	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	County Commission Seat B 	270002	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	County Commission Seat B 	270002	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	County Commission Seat B 	270002	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	County Commission Seat B 	270002	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	County Commission Seat B 	270002	NP 	Number of Precincts Reporting 	 	NP 	1
27	720	SG38 	County Commission Seat B 	270002	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	County Commission Seat B 	270002	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	County Commission Seat B 	270002	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	County Commission Seat B 	270002	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	County Commission Seat B 	270002	NP 	Registered Voters 	 	NP 	0
27	720	SG38 	County Commission Seat B 	270002	NP 	Registered Voters 	 	NP 	695
27	720	SG38 	County Commission Seat B 	270002	NP 	DENNY DRAKE 	271003	REP 	183
27	720	SG38 	County Commission Seat B 	270002	NP 	DENNY DRAKE 	271003	REP 	29
27	720	SG38 	County Commission Seat B 	270002	NP 	DENNY DRAKE 	271003	REP 	11
